,ID,Name,RGB,Num Parts,Num Sets,First Year,Last Year,Link
177,1024,Modulex Pink Red,F45C40,7,7,1963,1963,https://rebrickable.com/colors/1024/modulex-pink-red/
178,1010,Vintage Red,CA1F08,31,8,1949,1949,https://rebrickable.com/colors/1010/vintage-red/
179,12,Salmon,F2705E,185,115,1997,2000,https://rebrickable.com/colors/12/salmon/
180,1083,Two-tone Copper,945148,2,2,2001,2001,https://rebrickable.com/colors/1083/two-tone-copper/
181,36,Trans-Red,C91A09,17006,5956,1969,2022,https://rebrickable.com/colors/36/trans-red/
182,4,Red,C91A09,243390,73301,1949,2022,https://rebrickable.com/colors/4/red/
183,216,Rust,B31004,21,15,1991,2001,https://rebrickable.com/colors/216/rust/
184,1023,Modulex Red,B52C20,25,25,1963,1963,https://rebrickable.com/colors/1023/modulex-red/
185,335,Sand Red,D67572,589,49,2001,2004,https://rebrickable.com/colors/335/sand-red/
186,1047,Modulex Foil Red,8B0000,0,0,,,https://rebrickable.com/colors/1047/modulex-foil-red/
187,1019,Modulex Tile Brown,330000,158,158,1963,1963,https://rebrickable.com/colors/1019/modulex-tile-brown/
188,79,Milky White,FFFFFF,225,147,1963,2008,https://rebrickable.com/colors/79/milky-white/
189,47,Trans-Clear,FCFCFC,33279,10770,1954,2022,https://rebrickable.com/colors/47/trans-clear/
190,183,Pearl White,F2F3F2,44,17,2003,2006,https://rebrickable.com/colors/183/pearl-white/
191,503,Very Light Gray,E6E3DA,56,46,1997,2004,https://rebrickable.com/colors/503/very-light-gray/
192,151,Very Light Bluish Gray,E6E3E0,267,139,2000,2013,https://rebrickable.com/colors/151/very-light-bluish-gray/
193,383,Chrome Silver,E0E0E0,1299,609,1977,2018,https://rebrickable.com/colors/383/chrome-silver/
194,80,Metallic Silver,A5A9B4,3036,1028,1957,2022,https://rebrickable.com/colors/80/metallic-silver/
195,150,Pearl Very Light Gray,ABADAC,28,27,2002,2003,https://rebrickable.com/colors/150/pearl-very-light-gray/
196,71,Light Bluish Gray,A0A5A9,349300,92314,2002,2022,https://rebrickable.com/colors/71/light-bluish-gray/
197,135,Pearl Light Gray,9CA3A8,5196,2321,1998,2019,https://rebrickable.com/colors/135/pearl-light-gray/
198,7,Light Gray,9BA19D,91696,24943,1954,2006,https://rebrickable.com/colors/7/light-gray/
199,179,Flat Silver,898788,16908,6017,2009,2022,https://rebrickable.com/colors/179/flat-silver/
200,8,Dark Gray,6D6E5C,21896,7712,1978,2006,https://rebrickable.com/colors/8/dark-gray/
201,72,Dark Bluish Gray,6C6E68,245227,71458,2003,2022,https://rebrickable.com/colors/72/dark-bluish-gray/
202,40,Trans-Black,635F52,8154,2824,1999,2022,https://rebrickable.com/colors/40/trans-black/
203,148,Pearl Dark Gray,575857,6017,2589,2001,2022,https://rebrickable.com/colors/148/pearl-dark-gray/
204,64,Chrome Black,1B2A34,7,7,2008,2020,https://rebrickable.com/colors/64/chrome-black/
205,1017,Modulex Tile Gray,6B5A5A,219,219,1963,1963,https://rebrickable.com/colors/1017/modulex-tile-gray/
206,0,Black,05131D,593643,166517,1957,2022,https://rebrickable.com/colors/0/black/
207,1039,Modulex Clear,FFFFFF,1394,71,1963,1963,https://rebrickable.com/colors/1039/modulex-clear/
208,15,White,FFFFFF,364253,107699,1949,2022,https://rebrickable.com/colors/15/white/
209,117,Glitter Trans-Clear,FFFFFF,150,35,1999,2022,https://rebrickable.com/colors/117/glitter-trans-clear/
210,1055,Trans-Clear Opal,FCFCFC,309,40,2020,2022,https://rebrickable.com/colors/1055/trans-clear-opal/
211,1013,Modulex White,F4F4F4,2988,748,1963,1963,https://rebrickable.com/colors/1013/modulex-white/
212,1000,Glow in Dark White,D9D9D9,473,131,2005,2022,https://rebrickable.com/colors/1000/glow-in-dark-white/
213,1015,Modulex Light Gray,9C9C9C,2246,59,1963,1963,https://rebrickable.com/colors/1015/modulex-light-gray/
214,1041,Modulex Foil Light Gray,9C9C9C,0,0,,,https://rebrickable.com/colors/1041/modulex-foil-light-gray/
